R_colors
navy
blue
royalblue 
cornflowerblue
blueviolet
purple
lightskyblue
skyblue
deepskyblue 
cadetblue
turquoise
darkturquoise
lightseagreen
turquoise
mediumspringgreen
springgreen
seagreen
palegreen
limegreen
forestgreen
green
ivory
beige
wheat
moccasin
yellow
khaki
palegoldenrod
gold
goldenrod
darkgoldenrod
palevioletred
hotpink
deeppink 
mediumvioletred
orchid
violet
magenta
orange
chocolate
orangered
coral
salmon
crimson
brown
firebrick
indianred
red
maroon
